y,0,5,10,15,20,25,30,35,40,45
190,0.00976776,0.009741671,0.00966298,0.009530446,0.009342075,0.00909525,0.008786916,0.008413818,0.007972823,0.00746129
191,0.009640092,0.009614267,0.00953638,0.009405216,0.009218829,0.008974666,0.008669745,0.0083009,0.007865084,0.007359739
192,0.00951455,0.009488987,0.009411893,0.009282083,0.009097656,0.00885612,0.008554568,0.008189915,0.007759202,0.007259952
193,0.009391092,0.009365787,0.009289478,0.009161005,0.008978514,0.008739572,0.008441343,0.008080825,0.00765514,0.007161893
194,0.009269675,0.009244626,0.009169092,0.009041942,0.008861362,0.00862498,0.008330031,0.00797359,0.007552861,0.007065526
195,0.009150261,0.009125464,0.009050696,0.008924852,0.008746161,0.008512307,0.008220593,0.007868172,0.007452328,0.006970816
196,0.009032808,0.009008261,0.008934251,0.008809698,0.008632872,0.008401513,0.008112992,0.007764536,0.007353506,0.00687773
197,0.00891728,0.008892979,0.008819718,0.00869644,0.008521457,0.008292562,0.008007191,0.007662645,0.007256359,0.006786233
198,0.008803638,0.008779581,0.00870706,0.008585041,0.008411878,0.008185415,0.007903153,0.007562463,0.007160854,0.006696295
199,0.008691845,0.008668029,0.008596239,0.008475466,0.0083041,0.008080039,0.007800845,0.007463957,0.007066958,0.006607882
200,0.008581866,0.008558288,0.008487221,0.008367678,0.008198088,0.007976397,0.00770023,0.007367094,0.006974638,0.006520964
